"Region_Year","n_pdfs","pdf_pages","clean_rows","clean_nonblank","extract_nodes","extract_edges","disambig_nodes","graph_nodes","graph_edges","status"
"Region_46_2008",1,228,228,227,NA,NA,NA,NA,NA,"missing_extract"
"Region_46_2018",15,536,536,511,NA,NA,NA,NA,NA,"missing_extract"
"Region_47_2018",2,404,404,376,NA,NA,NA,NA,NA,"missing_extract"
"Region_48_2019",1,198,198,180,NA,NA,NA,NA,NA,"missing_extract"
"Region_49_2019",1,271,271,246,NA,NA,NA,NA,NA,"missing_extract"
"Region_50_2018",2,381,381,345,NA,NA,NA,NA,NA,"missing_extract"
"Region_5_2010",2,370,370,307,NA,NA,NA,NA,NA,"missing_extract"
"Region_5_2014",2,946,946,780,NA,NA,NA,NA,NA,"missing_extract"
"Region_5_2018",2,1622,1622,1273,NA,NA,NA,NA,NA,"missing_extract"
"Region_6_2007",14,590,590,576,NA,NA,NA,NA,NA,"missing_extract"
"Region_6_2014",33,515,522,516,NA,NA,NA,NA,NA,"missing_extract"
"Region_6_2021",1,506,1012,988,NA,NA,NA,NA,NA,"missing_extract"
"Region_7_2005",2,250,250,226,NA,NA,NA,NA,NA,"missing_extract"
"Region_7_2009",1,267,267,218,NA,NA,NA,NA,NA,"missing_extract"
"Region_7_2013",1,162,162,155,NA,NA,NA,NA,NA,"missing_extract"
"Region_7_2015",1,843,843,647,NA,NA,NA,NA,NA,"missing_extract"
"Region_7_2019",1,414,414,341,NA,NA,NA,NA,NA,"missing_extract"
"Region_8_2007",2,798,798,728,NA,NA,NA,NA,NA,"missing_extract"
"Region_NA_2012",NA,NA,137,126,NA,NA,NA,NA,NA,"missing_pdf"
